Program Name,URL,Program Type,Clear Program,Offers Bounties,Max Critical,Max High,Max Medium,Max Low,Average Bounty Max,Average Bounty Min,Top Bounty Max,Top Bounty Min,Resolved Reports,Reports Received in 90 Days,Total Bounties Paid (USD),Total Bounties Paid in 90 Days (USD),Avg Time to First Response (Hours),Avg Time to Triage (Hours),Avg Time to Bounty (Hours),Avg Time to Resolution (Hours),Progam Age (Months),Days Since Last Report
Alohi,https://hackerone.com/alohi,Public,No,No,0,0,0,0,0,0,0,0,5,85,0,0,15.0,22.0,0.0,87.0,0,6
Wickr,https://hackerone.com/wickr,Public,No,Yes,100000,25000,10000,1000,0,0,5000,5000,0,162,0,0,9.0,32.0,250.0,0.0,3,N/A
Payoneer,https://hackerone.com/payoneer,Public,No,Yes,5000,2000,750,100,750,750,2000,2000,5,246,6700,6700,15.0,32.0,227.0,192.0,3,46
Agoric,https://hackerone.com/agoric,Public,No,Yes,0,0,0,0,0,0,0,0,0,36,0,0,12.0,18.0,0.0,0.0,3,N/A
Auvik,https://hackerone.com/auvik,Public,No,No,0,0,0,0,0,0,0,0,6,54,0,0,15.0,22.0,0.0,191.0,3,35
Veeam,https://hackerone.com/veeam,Public,No,No,0,0,0,0,0,0,0,0,14,150,0,0,10.0,21.0,0.0,71.0,3,7
Redis ,https://hackerone.com/redis-vdp,Public,No,No,0,0,0,0,0,0,0,0,0,60,0,0,27.0,44.0,0.0,0.0,3,N/A
InMobi,https://hackerone.com/inmobi,Public,No,No,0,0,0,0,0,0,0,0,12,396,0,0,17.0,31.0,0.0,0.0,3,22
Mondelēz International,https://hackerone.com/mondelez,Public,No,No,0,0,0,0,0,0,0,0,72,227,0,0,11.0,28.0,0.0,341.0,4,0
Gemini,https://hackerone.com/gemini_trust_co_vdp,Public,No,No,0,0,0,0,0,0,0,0,0,27,0,0,11.0,29.0,0.0,0.0,4,N/A
Horizen,https://hackerone.com/horizen,Public,No,Yes,10000,3000,1000,300,0,0,0,0,2,45,0,0,9.0,13.0,0.0,0.0,4,104
OpenSea,https://hackerone.com/opensea,Public,No,Yes,50000,10000,3000,500,0,0,0,0,0,414,0,0,0.0,0.0,0.0,0.0,4,6
Internet Bug Bounty,https://hackerone.com/ibb,Public,No,Yes,10000,5000,3000,600,750,500,25000,2500,687,22,762740,6400,47.0,0.0,0.0,0.0,5,22
Hy-Vee,https://hackerone.com/hy-vee,Public,No,No,0,0,0,0,0,0,0,0,0,164,0,0,14.0,19.0,0.0,0.0,5,N/A
GSA Bounty,https://hackerone.com/gsa_bbp,Public,No,Yes,3000,1000,500,250,300,300,2000,750,171,71,59700,750,19.0,89.0,1968.0,1987.0,5,16
Tenable,https://hackerone.com/tenable,Public,No,No,0,0,0,0,0,0,0,0,6,25,0,0,18.0,109.0,0.0,256.0,5,2
Snowplow,https://hackerone.com/snowplow,Public,No,No,0,0,0,0,0,0,0,0,5,20,0,0,18.0,31.0,0.0,647.0,5,38
SEGA,https://hackerone.com/sega,Public,No,No,0,0,0,0,0,0,0,0,21,42,0,0,13.0,23.0,0.0,844.0,6,2
EPAM,https://hackerone.com/epam,Public,No,No,0,0,0,0,0,0,0,0,67,91,0,0,15.0,38.0,0.0,972.0,6,2
Octopus Energy,https://hackerone.com/octopus-energy,Public,No,No,0,0,0,0,0,0,0,0,9,18,0,0,14.0,17.0,0.0,249.0,6,10
OneWeb,https://hackerone.com/oneweb,Public,No,No,0,0,0,0,0,0,0,0,18,15,0,0,10.0,33.0,0.0,1109.0,6,21
Cardano Foundation,https://hackerone.com/cardano-foundation,Public,No,Yes,10000,5000,2000,400,2000,300,2000,2000,0,11,2300,2000,40.0,86.0,615.0,0.0,6,N/A
VanMoof,https://hackerone.com/vanmoof,Public,No,No,0,0,0,0,0,0,0,0,4,23,0,0,25.0,28.0,0.0,0.0,7,120
Krisp,https://hackerone.com/krisp,Public,No,Yes,5000,1000,500,100,500,100,5000,1000,8,284,10000,5000,19.0,21.0,15.0,690.0,7,6
Trade Republic,https://hackerone.com/trade-republic,Public,No,No,0,0,0,0,0,0,0,0,4,5,0,0,23.0,101.0,0.0,0.0,8,133
MyEtherWallet,https://hackerone.com/myetherwallet,Public,No,Yes,2000,1000,500,250,500,250,500,500,7,19,2200,500,34.0,89.0,13.0,547.0,8,77
Lacework,https://hackerone.com/lacework,Public,No,No,0,0,0,0,0,0,0,0,8,12,0,0,18.0,144.0,0.0,2163.0,9,22
JetBlue,https://hackerone.com/jetblue,Public,No,No,0,0,0,0,0,0,0,0,11,214,0,0,33.0,41.0,0.0,308.0,9,0
Nominet,https://hackerone.com/nominet,Public,No,No,0,0,0,0,0,0,0,0,10,15,0,0,24.0,49.0,0.0,375.0,9,71
Zebra VDP,https://hackerone.com/zebra_vdp,Public,No,No,0,0,0,0,0,0,0,0,86,17,0,0,17.0,46.0,0.0,1629.0,9,7
Monzo,https://hackerone.com/monzo,Public,No,No,0,0,0,0,0,0,0,0,14,6,0,0,26.0,28.0,0.0,142.0,9,0
UPS VDP,https://hackerone.com/ups,Public,No,No,0,0,0,0,0,0,0,0,3,116,0,0,13.0,13.0,0.0,3851.0,9,0
Proctorio,https://hackerone.com/proctorio,Public,No,No,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,10,150
John Deere,https://hackerone.com/john-deere,Public,No,No,0,0,0,0,0,0,0,0,62,102,0,0,0.0,0.0,0.0,0.0,10,3
UPchieve,https://hackerone.com/upchieve,Public,No,No,0,0,0,0,0,0,0,0,16,5,0,0,5.0,22.0,0.0,1655.0,10,11
Kryptor,https://hackerone.com/kryptor,Public,No,No,0,0,0,0,0,0,0,0,1,3,0,0,0.0,0.0,0.0,0.0,10,315
MCUboot,https://hackerone.com/mcuboot,Public,No,No,0,0,0,0,0,0,0,0,2,4,0,0,1.0,43.0,0.0,0.0,10,290
Fastify,https://hackerone.com/fastify,Public,No,No,0,0,0,0,0,0,0,0,4,2,0,0,1.0,1.0,0.0,0.0,10,136
Aktia,https://hackerone.com/aktia,Public,No,No,0,0,0,0,0,0,0,0,3,2,0,0,49.0,49.0,0.0,0.0,10,156
Securitize,https://hackerone.com/securitize,Public,No,Yes,500,250,100,50,50,50,250,100,7,27,1350,0,176.0,295.0,0.0,2160.0,11,86
M&T Bank Vulnerability Disclosure,https://hackerone.com/mtb,Public,No,No,0,0,0,0,0,0,0,0,30,47,0,0,15.0,38.0,0.0,468.0,11,8
DIB-VDP Pilot,https://hackerone.com/dib-vdp-pilot,Public,No,No,0,0,0,0,0,0,0,0,184,75,0,0,11.0,12.0,0.0,2105.0,11,6
Recorded Future,https://hackerone.com/recorded-future,Public,No,Yes,5000,2000,750,250,300,300,2000,1000,11,56,7400,4200,32.0,41.0,23.0,118.0,11,8
ChargePoint,https://hackerone.com/chargepoint,Public,No,No,0,0,0,0,0,0,0,0,0,12,0,0,12.0,29.0,0.0,0.0,11,N/A
Global Payments,https://hackerone.com/global-payments,Public,No,No,0,0,0,0,0,0,0,0,81,10,0,0,16.0,71.0,549.0,0.0,11,15
LumiraDx,https://hackerone.com/lumiradx,Public,No,No,0,0,0,0,0,0,0,0,29,21,0,0,23.0,27.0,0.0,0.0,11,27
BlackRock,https://hackerone.com/blackrock,Public,No,No,0,0,0,0,0,0,0,0,6,5,0,0,17.0,27.0,0.0,0.0,12,107
Clubhouse,https://hackerone.com/clubhouse,Public,No,Yes,3000,1500,500,100,250,100,1500,1500,32,182,14350,3700,0.0,0.0,0.0,0.0,12,10
Sifchain,https://hackerone.com/sifchain,Public,No,Yes,50000,20000,5000,1000,100,100,15000,200,22,23,19300,2000,20.0,23.0,123.0,239.0,12,17
Tennessee Valley Authority,https://hackerone.com/tennessee-valley-authority,Public,No,No,0,0,0,0,0,0,0,0,44,65,0,0,15.0,42.0,0.0,21.0,12,50
Costco,https://hackerone.com/costco,Public,No,No,0,0,0,0,0,0,0,0,12,244,0,0,8.0,12.0,0.0,46.0,12,21
Consensys,https://hackerone.com/consensys,Public,No,Yes,3000,1000,500,250,500,250,5000,1000,38,67,25900,5350,15.0,75.0,291.0,760.0,12,0
On ,https://hackerone.com/on,Public,No,No,0,0,0,0,0,0,0,0,14,16,0,0,22.0,20.0,0.0,0.0,13,52
Glovo,https://hackerone.com/glovo,Public,No,No,0,0,0,0,0,0,0,0,42,13,0,0,28.0,269.0,0.0,0.0,13,1
O1 Labs,https://hackerone.com/o1-labs,Public,No,Yes,10000,5000,2000,500,2000,2000,10000,5000,16,15,51500,21000,53.0,223.0,1838.0,637.0,14,13
Zilliqa,https://hackerone.com/zilliqa,Public,No,Yes,10000,5000,1500,500,6000,1200,10000,10000,4,40,24950,0,20.0,53.0,0.0,0.0,14,128
